municipality_code,department,municipality,year,population
05001,Antioquia,Medellín,2018,2427133
05002,Antioquia,Abejorral,2018,20368
05004,Antioquia,Abriaquí,2018,2718
05021,Antioquia,Alejandría,2018,4642
05030,Antioquia,Amagá,2018,30230
05031,Antioquia,Amalfi,2018,25935
05034,Antioquia,Andes,2018,43265
05036,Antioquia,Angelópolis,2018,5758
05038,Antioquia,Angostura,2018,11444
05040,Antioquia,Anorí,2018,18317
05042,Antioquia,Santafé de Antioquia,2018,26167
05044,Antioquia,Anzá,2018,7013
05045,Antioquia,Apartadó,2018,121014
05051,Antioquia,Arboletes,2018,29307
05055,Antioquia,Argelia,2018,7687
05059,Antioquia,Armenia,2018,5142
05079,Antioquia,Barbosa,2018,51974
05086,Antioquia,Belmira,2018,5996
05088,Antioquia,Bello,2018,522259
05091,Antioquia,Betania,2018,10311
05093,Antioquia,Betulia,2018,15597
05101,Antioquia,Ciudad Bolívar,2018,26118
05107,Antioquia,Briceño,2018,8029
05113,Antioquia,Buriticá,2018,9346
05120,Antioquia,Cáceres,2018,29014
05125,Antioquia,Caicedo,2018,8297
05129,Antioquia,Caldas,2018,79632
05134,Antioquia,Campamento,2018,9211
05138,Antioquia,Cañasgordas,2018,15531
05142,Antioquia,Caracolí,2018,4581
05145,Antioquia,Caramanta,2018,4758
05147,Antioquia,Carepa,2018,47923
05148,Antioquia,El Carmen de Viboral,2018,59410
05150,Antioquia,Carolina,2018,3957
05154,Antioquia,Caucasia,2018,90211
05172,Antioquia,Chigorodó,2018,57380
05190,Antioquia,Cisneros,2018,9778
05197,Antioquia,Cocorná,2018,15438
05206,Antioquia,Concepción,2018,4795
05209,Antioquia,Concordia,2018,21367
05212,Antioquia,Copacabana,2018,77875
05234,Antioquia,Dabeiba,2018,23048
05237,Antioquia,Donmatías,2018,18914
05240,Antioquia,Ebéjico,2018,12153
05250,Antioquia,El Bagre,2018,51868
05264,Antioquia,Entrerríos,2018,11154
05266,Antioquia,Envigado,2018,228836
05282,Antioquia,Fredonia,2018,24415
05284,Antioquia,Frontino,2018,20742
05306,Antioquia,Giraldo,2018,5545
05308,Antioquia,Girardota,2018,51660
05310,Antioquia,Gómez Plata,2018,9761
05313,Antioquia,Granada,2018,10124
05315,Antioquia,Guadalupe,2018,6555
05318,Antioquia,Guarne,2018,55110
05321,Antioquia,Guatapé,2018,8367
05347,Antioquia,Heliconia,2018,5460
05353,Antioquia,Hispania,2018,5471
05360,Antioquia,Itagüí,2018,276746
05361,Antioquia,Ituango,2018,27065
05364,Antioquia,Jardín,2018,14520
05368,Antioquia,Jericó,2018,13647
05376,Antioquia,La Ceja,2018,64878
05380,Antioquia,La Estrella,2018,71567
05390,Antioquia,La Pintada,2018,8127
05400,Antioquia,La Unión,2018,21479
05411,Antioquia,Liborina,2018,10023
05425,Antioquia,Maceo,2018,8217
05440,Antioquia,Marinilla,2018,64640
05467,Antioquia,Montebello,2018,6662
05475,Antioquia,Murindó,2018,4902
05480,Antioquia,Mutatá,2018,13991
05483,Antioquia,Nariño,2018,10154
05490,Antioquia,Necoclí,2018,42279
05495,Antioquia,Nechí,2018,25786
05501,Antioquia,Olaya,2018,3118
05541,Antioquia,Peñol,2018,21046
05543,Antioquia,Peque,2018,8108
05576,Antioquia,Pueblorrico,2018,8660
05579,Antioquia,Puerto Berrío,2018,39317
05585,Antioquia,Puerto Nare,2018,14382
05591,Antioquia,Puerto Triunfo,2018,18052
05604,Antioquia,Remedios,2018,28423
05607,Antioquia,Retiro,2018,23516
05615,Antioquia,Rionegro,2018,135473
05628,Antioquia,Sabanalarga,2018,9034
05631,Antioquia,Sabaneta,2018,82376
05642,Antioquia,Salgar,2018,18267
05647,Antioquia,San Andrés de Cuerquía,2018,7215
05649,Antioquia,San Carlos,2018,16256
05652,Antioquia,San Francisco,2018,5648
05656,Antioquia,San Jerónimo,2018,15358
05658,Antioquia,San José de La Montaña,2018,3648
05659,Antioquia,San Juan de Urabá,2018,20085
05660,Antioquia,San Luis,2018,12990
05664,Antioquia,San Pedro de Los Milagros,2018,21949
05665,Antioquia,San Pedro de Urabá,2018,30934
05667,Antioquia,San Rafael,2018,15713
05670,Antioquia,San Roque,2018,21517
05674,Antioquia,San Vicente,2018,22084
05679,Antioquia,Santa Bárbara,2018,26782
05686,Antioquia,Santa Rosa de Osos,2018,36312
05690,Antioquia,Santo Domingo,2018,12393
05697,Antioquia,El Santuario,2018,35429
05736,Antioquia,Segovia,2018,37900
05756,Antioquia,Sonsón,2018,36327
05761,Antioquia,Sopetrán,2018,15057
05789,Antioquia,Támesis,2018,16276
05790,Antioquia,Tarazá,2018,26960
05792,Antioquia,Tarso,2018,6187
05809,Antioquia,Titiribí,2018,10782
05819,Antioquia,Toledo,2018,4993
05837,Antioquia,Turbo,2018,124559
05842,Antioquia,Uramita,2018,6880
05847,Antioquia,Urrao,2018,30136
05854,Antioquia,Valdivia,2018,13798
05856,Antioquia,Valparaíso,2018,6512
05858,Antioquia,Vegachí,2018,11817
05861,Antioquia,Venecia,2018,11606
05873,Antioquia,Vigía del Fuerte,2018,9089
05885,Antioquia,Yalí,2018,7606
05887,Antioquia,Yarumal,2018,41553
05890,Antioquia,Yolombó,2018,22530
05893,Antioquia,Yondó,2018,19043
05895,Antioquia,Zaragoza,2018,24659
08001,Atlántico,Barranquilla,2018,1206322
08078,Atlántico,Baranoa,2018,62371
08137,Atlántico,Campo de La Cruz,2018,22876
08141,Atlántico,Candelaria,2018,15977
08296,Atlántico,Galapa,2018,60724
08372,Atlántico,Juan de Acosta,2018,21005
08421,Atlántico,Luruaco,2018,28173
08433,Atlántico,Malambo,2018,128199
08436,Atlántico,Manatí,2018,19803
08520,Atlántico,Palmar de Varela,2018,28928
08549,Atlántico,Piojó,2018,6609
08558,Atlántico,Polonuevo,2018,18187
08560,Atlántico,Ponedera,2018,23842
08573,Atlántico,Puerto Colombia,2018,49250
08606,Atlántico,Repelón,2018,26207
08634,Atlántico,Sabanagrande,2018,32341
08638,Atlántico,Sabanalarga,2018,93248
08675,Atlántico,Santa Lucía,2018,16030
08685,Atlántico,Santo Tomás,2018,29842
08758,Atlántico,Soledad,2018,603998
08770,Atlántico,Suan,2018,11937
08832,Atlántico,Tubará,2018,17376
08849,Atlántico,Usiacurí,2018,12261
11001,"Bogotá, D.C.","Bogotá, D.C.",2018,7391056
13001,Bolívar,Cartagena de Indias,2018,973047
13006,Bolívar,Achí,2018,24354
13030,Bolívar,Altos del Rosario,2018,10967
13042,Bolívar,Arenal,2018,7348
13052,Bolívar,Arjona,2018,69506
13062,Bolívar,Arroyohondo,2018,8249
13074,Bolívar,Barranco de Loba,2018,14837
13140,Bolívar,Calamar,2018,22476
13160,Bolívar,Cantagallo,2018,8232
13188,Bolívar,Cicuco,2018,13442
13212,Bolívar,Córdoba,2018,15954
13222,Bolívar,Clemencia,2018,14517
13244,Bolívar,El Carmen de Bolívar,2018,70142
13248,Bolívar,El Guamo,2018,8645
13268,Bolívar,El Peñón,2018,7641
13300,Bolívar,Hatillo de Loba,2018,12322
13430,Bolívar,Magangué,2018,133277
13433,Bolívar,Mahates,2018,27683
13440,Bolívar,Margarita,2018,10665
13442,Bolívar,María La Baja,2018,46114
13458,Bolívar,Montecristo,2018,16377
13468,Bolívar,Mompós,2018,44445
13473,Bolívar,Morales,2018,22255
13490,Bolívar,Norosí,2018,9211
13549,Bolívar,Pinillos,2018,24204
13580,Bolívar,Regidor,2018,6731
13600,Bolívar,Río Viejo,2018,10605
13620,Bolívar,San Cristóbal,2018,8050
13647,Bolívar,San Estanislao,2018,18259
